craig_id,us_cars_id,score
7316636148,280769369,0.9961148
7311257669,280769369,0.9961148
7316631749,280769369,0.9961148
7304056646,280769369,0.9961148
7304067677,280769369,0.9961148
7310246655,280769369,0.9961148
7307278252,280016965,0.9960814
7313897954,281562147,0.99607784
7315757909,280712760,0.9955165
7314706551,280630348,0.9926355
7314710557,264691105,0.9926355
7314710575,226589923,0.9926355
7314710588,264691105,0.9926355
7311245258,281618409,0.9926355
7311245358,279808352,0.9926355
7316158609,279901918,0.9926355
7316158619,272220724,0.9926355
7309830946,281007806,0.9926355
7309840948,280633346,0.9926355
7309841091,281007806,0.9926355
7313724488,278814564,0.9926355
7310350801,279663288,0.9926355
7310353703,280443427,0.9926355
7310967627,281520346,0.9926355
7310970767,281582750,0.9926355
7309830799,280633346,0.9926355
7302791693,279566504,0.9926355
7302820791,280028569,0.9926355
7306596820,281653643,0.9926355
7306602999,276569479,0.9926355
7306605639,276278162,0.9926355
7306616206,276496667,0.9926355
7306631124,226589923,0.9926355
7313506797,257046272,0.9926355
7313507443,281582750,0.9926355
7314693909,279808352,0.9926355
7306682743,278727623,0.9926355
7306686879,281093410,0.9926355
7306686999,281671931,0.9926355
7316216166,273244658,0.9926355
7302901848,278564940,0.9926355
7304804013,281582750,0.9926355
7314724555,280570830,0.9926355
7314724748,274435502,0.9926355
7314693059,278958123,0.9926355
7313545880,280197459,0.9926355
7316152397,276496667,0.9926355
7307288567,275669825,0.9926355
7316158237,279502374,0.9926355
7316158560,240991014,0.9926355
7303085245,277330190,0.9926355
7303110357,281553994,0.9926355
7310970792,257204788,0.9926355
7310976398,257204788,0.9926355
7310329891,277109055,0.9926355
7316181253,259894263,0.9926355
7313781242,279502374,0.9926355
7316116464,275440362,0.9926355
7313809517,278911665,0.9926355
7313815082,279663288,0.9926355
7313818913,278727623,0.9926355
7313820974,281553994,0.9926355
7311328729,278990193,0.9926355
7311329060,275608357,0.9926355
7311329168,281648620,0.9926355
7310329963,277109053,0.9926355
7306579201,281228877,0.9926355
