craig_id,us_cars_id,score
7304056646,280769369,0.7717479
7304067677,280769369,0.7717479
7316631749,280769369,0.7717479
7316636148,280769369,0.7717479
7310246655,280769369,0.7717479
7311257669,280769369,0.7717479
7307278252,280016965,0.7707446
7313897954,281562147,0.77046883
7315757909,280712760,0.75980556
7308363127,279566315,0.6852288
7309408791,269678671,0.6852288
7316836247,260045420,0.6852288
7313433539,268919179,0.6852288
7313898873,270677216,0.6852288
7313042831,276294248,0.6852288
7314401810,278945839,0.6852288
7313076173,278803498,0.6852288
7316720124,270558891,0.6852288
7314532013,244570751,0.6852288
7304153896,270558904,0.6852288
7316728098,276668312,0.6852288
7312941424,276150052,0.6852288
7309522676,276430282,0.6852288
7309520583,280570379,0.6852288
7313138682,276923334,0.6852288
7312794713,276668312,0.6852288
7308671379,281073650,0.6852288
7313912554,279575194,0.6852288
7314021245,272818862,0.6852288
7313921353,281073650,0.6852288
7304092072,280097858,0.6852288
7312623043,276430282,0.6852288
7314807347,270558884,0.6852288
7303760567,279566315,0.6852288
7314940471,280748155,0.6852288
7312377414,276676961,0.6852288
7303698384,279575194,0.6852288
7311821561,270558887,0.6852288
7316569304,276991842,0.6852288
7302057177,265811239,0.6852288
7302057176,270558885,0.6852288
7311683271,276991842,0.6852288
7315010936,272818862,0.6852288
7309884770,278031632,0.6852288
7306372213,278582462,0.6852288
7314987269,280344168,0.6852288
7312921305,279566315,0.6852288
7312800318,281556219,0.6852288
7306002424,276668312,0.6852288
7308203463,276838130,0.6852288
7308206401,270558915,0.6852288
7308205110,271352075,0.6852288
7302016600,266914222,0.6852288
7302016624,276838130,0.6852288
7311466543,279566315,0.6852288
7303596187,266298347,0.6852288
7309932076,279566315,0.6852288
7302097315,280529999,0.6852288
7314147478,276991842,0.6852288
7309486534,265261424,0.6852288
7305244264,279566315,0.6852288
7314240360,280097858,0.6852288
7311448921,276096079,0.6852288
7315247750,280097858,0.6852288
7307886206,281575049,0.6852288
7307286893,252841948,0.6852288
7315719348,266298347,0.6852288
7310289112,252385252,0.6852288
7307621695,280097858,0.6852288
7303112543,270558899,0.6852288
7303566127,279128580,0.6852288
7307925278,276923334,0.6852288
7311250291,281092968,0.6852288
7316413062,281073650,0.6852288
7307181699,266313943,0.6852288
7310287550,279381057,0.6852288
7310799139,266298347,0.6852288
7316278833,260012066,0.6852288
7310628471,276923334,0.6852288
7302554712,278582460,0.6852288
7307705857,268863109,0.6852288
7316090577,276923334,0.6852288
7301671236,281496821,0.6852288
7308805339,274551385,0.6852288
7308805414,273089105,0.6852288
7308959717,276991842,0.6852288
7316162228,279381057,0.6852288
7307821172,281575049,0.6852288
7310778312,280097858,0.6852288
7307855171,278582460,0.6852288
7310815397,278076767,0.6852288
7315805738,271035283,0.6852288
7316162563,266298347,0.6852288
7315846407,281299030,0.6852288
7315118206,276430282,0.6852288
7303566006,274003556,0.6852288
7306782974,279566315,0.6852288
7306798647,192231881,0.6852288
7311250333,281092968,0.6852288
7311254142,281092968,0.6852288
7303287932,276952309,0.6852288
7311386255,281073650,0.6852288
7315366872,269715845,0.6852288
7315366753,260012104,0.6852288
7315366482,260012154,0.6852288
7306844788,275933615,0.685228
7317034834,277587827,0.68522763
